ISO2_code,Year,Population
LR,1958,-1.1565877096445811
LS,1958,-1.5920032206221437
CN,1958,-1.393985867569904
TW,1958,-1.722145919834322
AR,1958,-1.4179195102650202
KR,1958,-1.50901908016444
GW,1958,-1.0953317789871704
ES,1958,-1.5134817061466812
ER,1958,-1.307844156856351
ZM,1958,-1.136809761258829
US,1958,-1.4066810960269351
AD,1958,-1.5154495429301476
AF,1958,-0.9948960117269322
JP,1958,-1.5762813097848656
MQ,1958,-1.556742817516702
ER,1959,-1.287248911329147
ES,1959,-1.4684171973395506
AR,1959,-1.3837053202418215
JP,1959,-1.5117722010811891
KR,1959,-1.4305279819555727
GW,1959,-1.0905184944250976
MQ,1959,-1.436561375711207
AF,1959,-0.9842152424701783
CN,1959,-1.3645409289905497
US,1959,-1.3561169768955623
LR,1959,-1.1405083542907606
LS,1959,-1.5559357592549943
TW,1959,-1.6524887045173668
ZM,1959,-1.1221419887242874
AD,1959,-1.4898645494126102
ES,1960,-1.4276568916849757
AD,1960,-1.462938699294295
LS,1960,-1.5182831199063518
TW,1960,-1.5799802829839584
AR,1960,-1.3499019017270495
ZM,1960,-1.1068573591441446
CN,1960,-1.3575497222800221
GW,1960,-1.0856414006445383
MQ,1960,-1.3149337323911359
KR,1960,-1.3518166945629506
ER,1960,-1.2653913415113203
AF,1960,-0.9719552278725626
JP,1960,-1.4483922816527686
US,1960,-1.310542216472162
LR,1960,-1.123447107006002
CN,1961,-1.353724343566119
ZM,1961,-1.0909474420327339
AR,1961,-1.3155071676476426
TW,1961,-1.5038835780983555
GW,1961,-1.0767184574972206
AD,1961,-1.4349256681483222
LS,1961,-1.4791928004204833
MQ,1961,-1.1976656530570324
LR,1961,-1.1056425999835013
US,1961,-1.2644147926376565
JP,1961,-1.3848865085320765
AF,1961,-0.958628686187427
ER,1961,-1.2423139199728999
KR,1961,-1.2778129834246683
ES,1961,-1.3821004871260214
US,1962,-1.219372151759432
CN,1962,-1.3208859298714606
JP,1962,-1.3198258540438517
MQ,1962,-1.0916947130904153
TW,1962,-1.4241655045920476
LS,1962,-1.4388665507223062
GW,1962,-1.064142867734901
AR,1962,-1.2801980719893828
KR,1962,-1.2090925032457407
AF,1962,-0.94440935824593
LR,1962,-1.0871374688417765
AD,1962,-1.4060066528126351
ES,1962,-1.3297022877945248
ER,1962,-1.2179959042959652
ZM,1962,-1.07440841981164
ES,1963,-1.2780487746543627
AD,1963,-1.3761091745520566
LR,1963,-1.067993439774801
ZM,1963,-1.0572366339682147
AR,1963,-1.244478204822697
GW,1963,-1.0548249972623542
AF,1963,-0.929434106679021
KR,1963,-1.1414641050111294
ER,1963,-1.1925686631273487
US,1963,-1.1758964302045989
MQ,1963,-0.9965807642042384
LS,1963,-1.397402702707999
TW,1963,-1.3417269997767702
CN,1963,-1.2531717086886431
JP,1963,-1.2500302485178587
ES,1964,-1.222833284305392
AD,1964,-1.3452694727341747
GW,1964,-1.0640014527101465
AR,1964,-1.2086739382468912
AF,1964,-0.9136933940211288
LR,1964,-1.0482486939334865
ER,1964,-1.1661497368352702
KR,1964,-1.0759932787417688
ZM,1964,-1.0395194116087074
TW,1964,-1.2573893222406871
CN,1964,-1.1805381584916288
LS,1964,-1.3548877206310972
JP,1964,-1.173546000557738
US,1964,-1.1340845708323686
MQ,1964,-0.9064970814557175
AF,1965,-0.8970319980200787
AD,1965,-1.3136325048293442
US,1965,-1.0954808008260737
GW,1965,-1.08615014981896
TW,1965,-1.1712967550778337
LS,1965,-1.3107994282153446
MQ,1965,-0.8182159107398569
CN,1965,-1.1129514747403295
ES,1965,-1.1668054509564585
JP,1965,-1.0915876517728251
AR,1965,-1.1727964977991392
ZM,1965,-1.0211854912693668
LR,1965,-1.0278103238506144
ER,1965,-1.1387924630658117
KR,1965,-1.013184868073973
AD,1966,-1.27800920648977
ES,1966,-1.1129486323371243
MQ,1966,-0.7331205752445114
US,1966,-1.0616225365443999
AF,1966,-0.8797056022320641
ZM,1966,-1.002152317816962
KR,1966,-0.9468247232760781
CN,1966,-1.0458927215323515
LS,1966,-1.2639714057267655
TW,1966,-1.0841411523646276
GW,1966,-1.0986757269505736
LR,1966,-1.006810690849345
AR,1966,-1.1364740895306447
JP,1966,-1.0204135739641054
ER,1966,-1.110617345389753
MQ,1967,-0.6594690952123329
AF,1967,-0.8616731955551277
JP,1967,-0.9447626699708908
CN,1967,-0.9825006185778832
LS,1967,-1.2112756816403811
GW,1967,-1.093493383665361
TW,1967,-1.0054547910775387
LR,1967,-0.9851925232033109
AR,1967,-1.0996898751356483
KR,1967,-0.8760764074853657
ZM,1967,-0.982490516452176
US,1967,-1.0305686293106895
ER,1967,-1.0816866110608567
ES,1967,-1.0588299511153032
AD,1967,-1.2345582047510621
ER,1968,-1.0520071742184303
MQ,1968,-0.6075735162255164
GW,1968,-1.0760838144592977
LR,1968,-0.9628145506541399
LS,1968,-1.1535158649008204
AR,1968,-1.06269164795324
CN,1968,-0.9145168275676823
TW,1968,-0.936292680163317
KR,1968,-0.8066720918222137
JP,1968,-0.8526771990075085
ZM,1968,-0.9621483908006353
AF,1968,-0.8427770918918227
AD,1968,-1.186214888387896
ES,1968,-1.006033499205745
US,1968,-0.9993631334891818
ES,1969,-0.9563778608712825
LR,1969,-0.9396347739358296
MQ,1969,-0.575442691271239
TW,1969,-0.8685315052340539
CN,1969,-0.8405885776065324
US,1969,-0.9656924851481052
GW,1969,-1.068487068312422
ZM,1969,-0.941496245968621
AD,1969,-1.1365669547915411
ER,1969,-1.0214269237977196
AR,1969,-1.0253712062778866
JP,1969,-0.7612070206847028
LS,1969,-1.0943183680240338
KR,1969,-0.7379375098657357
AF,1969,-0.8231689369447341
AD,1970,-1.0854332071240544
MQ,1970,-0.5533514391500342
GW,1970,-1.061963006865514
US,1970,-0.9264027632558578
JP,1970,-0.6674576426906242
CN,1970,-0.7665042706957349
LS,1970,-1.034010398871442
ZM,1970,-0.921984602688169
ER,1970,-0.9896357112640952
AF,1970,-0.802625077146213
ES,1970,-0.9083868875600273
LR,1970,-0.9156544657534101
AR,1970,-0.986832793819198
KR,1970,-0.6685237258662282
TW,1970,-0.8018455036459577
KR,1971,-0.5993015245874448
CN,1971,-0.6936574244127965
ZM,1971,-0.903175393836127
GW,1971,-1.0570686673502283
LR,1971,-0.8914126166872478
AR,1971,-0.9472756638620061
LS,1971,-0.9723020478870712
MQ,1971,-0.539643963924922
TW,1971,-0.7364198745943576
ER,1971,-0.9565604442877411
JP,1971,-0.5695901037087252
US,1971,-0.8853535889388389
AF,1971,-0.781731192361222
AD,1971,-1.03245125170955
ES,1971,-0.8559520920456811
AF,1972,-0.7602006817493412
AD,1972,-0.9777298066507939
ER,1972,-0.922380890490639
TW,1972,-0.6727260342128167
CN,1972,-0.6250091503954377
ZM,1972,-0.8835050029199065
AR,1972,-0.906799806839283
MQ,1972,-0.5332094151571701
JP,1972,-0.4675488569819048
GW,1972,-1.0545697603884068
US,1972,-0.8482684418708863
LR,1972,-0.8663804177972194
LS,1972,-0.9089576575955978
KR,1972,-0.529952810218635
ES,1972,-0.797283182912656
ER,1973,-0.8871405101770043
GW,1973,-1.0420614289915195
AR,1973,-0.8644136336340282
TW,1973,-0.6107780780003457
MQ,1973,-0.5315955381046722
JP,1973,-0.36350985224012755
AD,1973,-0.9211601538450201
ZM,1973,-0.8628729003745725
LS,1973,-0.8438738099682824
US,1973,-0.8152268081947737
ES,1973,-0.7383945429170622
KR,1973,-0.46117018149150196
CN,1973,-0.5589702578237793
LR,1973,-0.8398432452087667
AF,1973,-0.7372668920363906
KR,1974,-0.39472814565683106
ZM,1974,-0.8412798815289612
GW,1974,-1.0069266936339039
JP,1974,-0.2622170249773818
AR,1974,-0.8198060513503104
LS,1974,-0.7765028980660648
TW,1974,-0.5500773776794575
MQ,1974,-0.5252448271058817
CN,1974,-0.4967793131415599
ER,1974,-0.8508867145877997
LR,1974,-0.8121071844816962
AF,1974,-0.7138544805095162
AD,1974,-0.862814772027406
US,1974,-0.7839860647644092
ES,1974,-0.6720062994504894
KR,1975,-0.3331481005406801
AR,1975,-0.7755479158812001
TW,1975,-0.4898056112242828
ER,1975,-0.8137014856605226
LS,1975,-0.7073128460845501
LR,1975,-0.7832492342703454
MQ,1975,-0.5037404393674025
GW,1975,-0.944740298784826
JP,1975,-0.16869190186273522
AD,1975,-0.8034909272849001
AF,1975,-0.6910037462259164
ES,1975,-0.6058050348004895
US,1975,-0.7522144111876374
ZM,1975,-0.8186589796950379
CN,1975,-0.4414638717235317
ZM,1976,-0.7950499613146286
AF,1976,-0.6697128644365167
ES,1976,-0.5475843520246262
